group_id,image_ids,desc,haiku_l1,haiku_l2,haiku_l3,syllables,total,relevance,structure,imagery,fluency
191,000000133410.jpg|000000147283.jpg|000000050695.jpg,"A group of people, including a man and a woman, are flying kites in the ocean.",Colors dance on wind,Laughter echoes with the waves,Sky and sea embrace,5/8/5,17,3,5,4,5
1317,000000370741.jpg|000000455405.jpg|000000463665.jpg,"A flock of migratory birds, including a black and white one, is gathered on a log in the woods.",Whispers in the pines,black and white forms on wood rest,"wings pause, wood breathes deep",6/7/6,18,5,5,4,4
703,000000164783.jpg|000000025675.jpg|000000578903.jpg,"A baseball game unfolds as a batter prepares to hit a ball, while another player stands nearby, ready to catch the ball.",Sunset glows on grass,A bat slices through warm air,"Hope hangs, poised in time",5/7/6,19,4,5,5,5
1988,000000393290.jpg|000000331692.jpg|000000383958.jpg,"A woman sits at a table, enjoying a pizza with vegetables on it.","Sunset's warm embrace,","Laughter dances on fresh crust,",Greens weave dreams of taste.,5/7/5,16,3,5,4,4
1468,000000239849.jpg|000000416202.jpg|000000553997.jpg,"A young girl is on a tennis court, swinging her racket to hit a ball.","White ball in the air,","Racket arcs through summer light,",Joy leaps with each swing.,5/7/5,20,5,5,5,5
1413,000000062048.jpg|000000082704.jpg|000000136143.jpg,A young boy in a blue shirt is playing with a frisbee on the beach.,Waves kiss golden sand,A blue shirt dances with joy,Frisbee soaring high,6/7/4,19,5,5,4,5
1952,000000017927.jpg|000000022811.jpg|000000144203.jpg,"A group of men and women, including a man and a woman, are playing tennis on the court, with one of them holding a tennis racket.","Rackets slice through air,","Sunlight dances on the court,",Laughter meets the breeze.,5/7/5,20,5,5,5,5
2042,000000469495.jpg|000000320693.jpg|000000521652.jpg,"In a bustling city street, a group of people is gathered near a traffic light, where a clock stands prominently on the sidewalk.","Echoes in the throng,","A clock ticks beneath bright lights,",Footsteps dance and pause.,5/7/5,19,5,5,4,5
2055,000000214247.jpg|000000075748.jpg|000000571415.jpg,"A red and white truck is parked in a garage near a building, while a train travels along the tracks.",Rusty wheels whisper,Crimson and ivory rest,Steel serpent glides past,5/7/6,16,3,5,4,4
907,000000250998.jpg|000000533628.jpg|000000427941.jpg,A man skillfully rides a wave on a surfboard in the ocean.,"Salt spray in the air,","He dances on azure backs,",Ocean's pulse beneath.,5/7/5,20,5,5,5,5
