group_id,image_ids,desc,haiku_l1,haiku_l2,haiku_l3,syllables,total,relevance,structure,imagery,fluency
282,000000256930.jpg|000000094940.jpg|000000317103.jpg,"A vase is adorned with a glass of wine, alongside a vase filled with flowers, and a vase adorned with flowers is displayed in a vase.","Crystal glints with wine,","Petals whisper in the breeze,",Colors softly blend.,5/7/5,15,2,5,4,4
572,000000130974.jpg|000000318386.jpg|000000110200.jpg,"A plate features a variety of vegetables, including broccoli, broccoli, and broccoli, along with a bowl of broccoli and broccoli.","Emerald clusters,","Steam rises in morning light,",Greens dance on the plate.,5/7/5,16,2,5,4,5
732,000000026728.jpg|000000275913.jpg|000000333605.jpg,"In a field, a man stands in front of a plant, while nearby, a vase is positioned on the side of a tree.","Silent man watches,",Sunlit blooms kiss whispering,shade of ancient bark.,5/7/5,15,2,5,4,4
166,000000396779.jpg|000000074711.jpg|000000343821.jpg,"A group of giraffes, including a couple of birds, are grazing on a lake near a lake, while a group of birds is spotted in the background.","Tall necks stretch skyward,","Rippling grass and water blend,","Wings dance, shadows glide.",5/7/5,17,3,5,4,5
845,000000038714.jpg|000000083058.jpg|000000159738.jpg,"A group of people is flying a kite on a surfboard, while a couple of surfboards are positioned on the beach nearby.","Windswept dreams take flight,","Colors dance on ocean's breath,",Silhouettes in sun.,5/7/5,15,2,5,4,4
18,000000466656.jpg|000000371773.jpg|000000358083.jpg,"A cat is looking at a cat in a mirror, while a cat sits on a sink nearby, and a black cat looks out of the mirror.",Whiskers twitch in glass,Soft eyes meet their mirrored gaze,Shadow stirs alone,5/8/5,19,4,5,5,5
926,000000018736.jpg|000000520812.jpg|000000099165.jpg,"A group of sheep stands next to a grassy field, while a small sheep grazes in a wooded field nearby.",Gentle woolly forms,Rest beside the emerald,Whispers in the pines,4/7/6,18,4,5,4,5
402,000000265636.jpg|000000108894.jpg|000000275120.jpg,"A decorated cake features a red and white cake, while a man sits on a table next to a table.",Layers swirl with cream,"He leans, savoring sweet time",Joy drifts like soft air,4/7/5,17,3,5,4,5
820,000000492440.jpg|000000107360.jpg|000000138699.jpg,"A man in a white shirt is standing next to a skateboard, while a black and white dog sits on a surfboard nearby.",Sunlight on white cloth,Waves kiss the weathered board,A dog dreams of surf,5/8/5,15,2,5,4,4
215,000000449373.jpg|000000513497.jpg|000000523914.jpg,"A tall building features a clock tower, a building, and a building with a large structure, while nearby, a church is adorned with a number of buildings.","Stone reaches skyward,","Time whispers from the tower,",Spire crowns silence’ peace.,5/7/5,16,3,5,4,4
